h,ne,tn,ti,te
60.000000,nan,238.571121,238.571121,238.571121
61.000000,nan,236.490555,236.490555,236.490555
62.000000,nan,234.500565,234.500565,234.500565
63.000000,nan,232.584885,232.584885,232.584885
64.000000,nan,230.728378,230.728378,230.728378
65.000000,nan,228.916901,228.916901,228.916901
66.000000,nan,227.137100,227.137100,227.137100
67.000000,nan,225.376419,225.376419,225.376419
68.000000,nan,223.623169,223.623169,223.623169
69.000000,nan,221.866302,221.866302,221.866302
70.000000,nan,220.095520,220.095520,220.095520
71.000000,nan,218.301300,218.301300,218.301300
72.000000,nan,216.474701,216.474701,216.474701
73.000000,nan,214.642273,214.642273,214.642273
74.000000,nan,212.991928,212.991928,212.991928
75.000000,nan,211.521484,211.521484,211.521484
76.000000,nan,210.195572,210.195572,210.195572
77.000000,nan,208.981079,208.981079,208.981079
78.000000,nan,207.846634,207.846634,207.846634
79.000000,nan,206.762512,206.762512,206.762512
80.000000,0.122309,205.700226,205.700226,205.700226
81.000000,0.139272,204.632553,204.632553,204.632553
82.000000,0.153073,203.533386,203.533386,203.533386
83.000000,0.163568,202.377899,202.377899,202.377899
84.000000,0.171158,201.142502,201.142502,201.142502
85.000000,0.176658,199.805023,199.805023,199.805023
86.000000,0.181162,198.344925,198.344925,198.344925
87.000000,0.187063,196.743530,196.743530,196.743530
88.000000,0.199341,194.984131,194.984131,194.984131
89.000000,0.224980,193.052475,193.052475,193.052475
90.000000,0.275980,190.936707,190.936707,190.936707
91.000000,0.310859,188.650589,188.650589,188.650589
92.000000,0.327751,186.296967,186.296967,186.296967
93.000000,0.341938,183.991287,183.991287,183.991287
94.000000,0.353585,181.837814,181.837814,181.837814
95.000000,0.362932,179.931122,179.931122,179.931122
96.000000,0.370259,178.358597,178.358597,178.358597
97.000000,0.375863,177.203552,177.203552,177.203552
98.000000,0.380039,176.549149,176.549149,176.549149
99.000000,0.383060,176.483032,176.483032,176.483032
100.000000,0.385176,177.102997,177.102997,177.102997
101.000000,0.386602,178.496262,178.496262,178.496262
102.000000,0.387519,180.659897,180.659897,180.659897
103.000000,0.388078,183.579498,183.579498,183.579498
104.000000,0.388394,187.253693,187.253693,187.253693
105.000000,0.388557,191.692322,191.692322,191.692322
106.000000,0.388631,196.914719,196.914719,196.914719
107.000000,0.388658,202.948318,202.948318,202.948318
108.000000,0.388666,209.827148,209.827148,209.827148
109.000000,0.388667,217.589981,217.589981,217.589981
110.000000,0.388667,226.278244,226.278244,226.278244
111.000000,0.387155,235.932816,235.932816,235.932816
112.000000,0.383007,246.591263,246.591263,246.591263
113.000000,0.376798,258.281006,258.281006,258.281006
114.000000,0.369064,271.011383,271.011383,271.011383
115.000000,0.360294,284.763062,284.763062,284.763062
116.000000,0.350909,299.474213,299.474213,299.474213
117.000000,0.341267,315.023590,315.023590,315.023590
118.000000,0.331662,331.210449,331.210449,331.210449
119.000000,0.322328,347.733215,347.733215,347.733215
120.000000,0.313445,364.169495,364.169495,364.169495
121.000000,0.305149,379.963287,379.963287,379.963287
122.000000,0.297538,394.426270,394.426270,394.426270
123.000000,0.290677,406.762482,406.762482,406.762482
124.000000,0.284610,415.282684,415.282684,418.242462
125.000000,0.279358,423.997375,423.997375,431.760651
126.000000,0.274928,432.421021,432.421021,445.278778
127.000000,0.271316,440.563416,440.563416,458.796875
128.000000,0.268509,448.434021,448.434021,472.314911
129.000000,0.266488,456.041992,456.041992,485.832886
130.000000,0.265228,463.396179,463.396179,499.350769
131.000000,0.264703,470.505127,470.505127,512.868530
132.000000,0.264882,477.377075,477.377075,526.386230
133.000000,0.265731,484.019989,484.019989,539.903687
134.000000,0.267217,490.441589,490.441589,553.421021
135.000000,0.269301,496.649292,496.649292,566.938171
136.000000,0.271945,502.650330,502.650330,580.454956
137.000000,0.275108,508.451538,508.451538,593.971497
138.000000,0.278746,514.059753,514.059753,607.487549
139.000000,0.282816,519.481384,519.481384,621.003113
140.000000,0.287270,524.722717,524.722717,634.518005
141.000000,0.292062,529.789734,529.789734,648.032288
142.000000,0.297144,534.688416,534.688416,661.545593
143.000000,0.302468,539.424255,539.424255,675.057739
144.000000,0.307989,544.002808,544.002808,688.568542
145.000000,0.313665,548.429321,548.429321,702.077698
146.000000,0.319458,552.708923,552.708923,715.584778
147.000000,0.325336,556.846436,556.846436,729.089355
148.000000,0.331279,560.846741,560.846741,742.590942
149.000000,0.337274,564.714355,564.714355,756.088867
150.000000,0.343325,568.453674,568.453674,769.582214
151.000000,0.349453,572.069092,572.069092,783.070007
152.000000,0.355695,575.564697,575.564697,796.551147
153.000000,0.362116,578.944458,578.944458,810.023987
154.000000,0.368803,582.212341,582.212341,823.486755
155.000000,0.375876,585.372009,585.372009,836.937439
156.000000,0.383490,588.427124,588.427124,850.373108
157.000000,0.405710,591.381104,591.381104,863.790649
158.000000,0.447206,594.237427,594.237427,877.186035
159.000000,0.484231,596.999268,596.999268,890.554565
160.000000,0.518375,599.669861,599.669861,903.890198
161.000000,0.550455,602.252136,602.252136,917.186157
162.000000,0.580950,604.749146,604.749146,930.433716
163.000000,0.610171,607.163635,607.163635,943.622803
164.000000,0.638333,609.498413,609.498413,956.740967
165.000000,0.665592,611.756104,611.756104,969.773682
166.000000,0.692065,613.939331,613.939331,982.703369
167.000000,0.717841,616.050537,616.050537,995.509155
168.000000,0.742990,618.092102,618.092102,1008.166931
169.000000,0.767571,620.066406,620.066406,1020.648010
170.000000,0.791629,621.975586,621.975586,1032.919922
171.000000,0.815205,623.821899,623.821899,1044.944824
172.000000,0.838329,625.607361,625.607361,1056.680908
173.000000,0.861031,627.334045,627.334045,1068.081421
174.000000,0.883333,629.003906,629.003906,1079.096069
175.000000,0.905256,630.618774,630.618774,1089.671631
176.000000,0.926819,632.180542,632.180542,1099.754150
177.000000,0.948036,633.690979,633.690979,1109.290161
178.000000,0.968923,635.151672,635.151672,1118.229736
179.000000,0.989525,636.564453,636.564453,1126.529419
180.000000,1.010168,637.930725,637.930725,1134.154663
181.000000,1.030921,639.252136,639.252136,1141.082520
182.000000,1.051775,640.530151,640.530151,1147.303345
183.000000,1.072721,641.766235,641.766235,1152.821289
184.000000,1.093749,642.961731,642.961731,1157.654297
185.000000,1.114849,644.117981,644.117981,1161.832275
186.000000,1.136011,645.236328,645.236328,1165.395508
187.000000,1.157226,646.317993,646.317993,1168.391479
188.000000,1.178482,647.364258,647.364258,1170.872681
189.000000,1.199769,648.376160,648.376160,1172.893066
190.000000,1.221078,649.354919,649.354919,1174.506592
191.000000,1.242397,650.301636,650.301636,1175.765015
192.000000,1.263716,651.217407,651.217407,1176.716309
193.000000,1.285023,652.103149,652.103149,1177.404297
194.000000,1.306309,652.959900,652.959900,1177.868408
195.000000,1.327561,653.788635,653.788635,1178.143311
196.000000,1.348770,654.590271,654.590271,1178.259277
197.000000,1.369924,655.365723,655.365723,1178.242065
198.000000,1.391012,656.115784,656.115784,1178.114258
